8116 4 4
0.001 0.00129 8.6E-4 0.00136
0.001 0.00129 8.6E-4 0.00136
0.00129 0.00161 0.001 0.00161
0.00129 0.00161 0.001 0.00161
0.00164 0.00165 0.0011 0.0018
0.00164 0.00165 0.0011 0.0018
0.001651 0.002199 0.001651 0.0025
0.001651 0.002199 0.001651 0.0025
0.002199 0.00217 0.001752 0.0024
0.002199 0.00217 0.001752 0.0024
0.00191 0.0019 0.001823 0.00211
0.00191 0.0019 0.001823 0.00211
0.001875 0.002 0.00117 0.002098
0.001875 0.002 0.00117 0.002098
0.002 0.00152 0.00152 0.002092
0.002 0.00152 0.00152 0.002092
0.00187 0.00193 0.00157 0.00196
0.00187 0.00193 0.00157 0.00196
0.00192 0.00164999 0.0014 0.00196
0.00192 0.00164999 0.0014 0.00196
0.00164999 0.0017 0.0015 0.001755
0.00164999 0.0017 0.0015 0.001755
0.0017 0.0017 0.00155 0.00189
0.0017 0.0017 0.00155 0.00189
0.00178 0.001589 0.00158 0.00193
0.00178 0.001589 0.00158 0.00193
0.001729 0.00158 0.00141 0.001729
0.001729 0.00158 0.00141 0.001729
0.00168 0.001485 0.001351 0.00168
0.00168 0.001485 0.001351 0.00168
0.00149 0.00154 0.00133 0.0016789
0.00149 0.00154 0.00133 0.0016789
0.00154 0.00151 0.0014 0.002
0.00154 0.00151 0.0014 0.002
0.00161 0.00166 0.0016 0.0021
0.00161 0.00166 0.0016 0.0021
0.00172 0.001787 0.0016 0.001871
0.00172 0.001787 0.0016 0.001871
0.00182 0.00193 0.00173 0.001988
0.00182 0.00193 0.00173 0.001988
0.00182 0.0018 0.001731 0.001888
0.00182 0.0018 0.001731 0.001888
0.00185 0.00189 0.00177 0.0019876
0.00185 0.00189 0.00177 0.0019876
0.00193 0.002 0.00186 0.00205
0.00193 0.002 0.00186 0.00205
0.00205 0.001932 0.00191 0.00212
0.00205 0.001932 0.00191 0.00212
0.00193102 0.001931 0.001931 0.00214
0.00193102 0.001931 0.001931 0.00214
0.0019665 0.00216 0.001855 0.00233
0.0019665 0.00216 0.001855 0.00233
0.00216 0.00205 0.001851 0.00216
0.00216 0.00205 0.001851 0.00216
0.00205 0.00193 0.001918 0.0021
0.00205 0.00193 0.001918 0.0021
0.00193 0.00198 0.0018701 0.00199
0.00193 0.00198 0.0018701 0.00199
0.00198 0.0019 0.001851 0.0023
0.00198 0.0019 0.001851 0.0023
0.0019 0.0019 0.0019 0.0019
0.0019 0.0019 0.0019 0.0019
0.0019 0.0019 0.0019 0.0019
0.0019 0.0019 0.0019 0.0019
0.00195 0.00182 9.99E-4 0.00225
0.00195 0.00182 9.99E-4 0.00225
0.001998 0.002 0.00150102 0.002095
0.001998 0.002 0.00150102 0.002095
0.0019 0.00189 0.0012 0.002156
0.0019 0.00189 0.0012 0.002156
0.00189 0.001673 0.001601 0.0019
0.00189 0.001673 0.001601 0.0019
0.001673 0.001452 0.001 0.00171
0.001673 0.001452 0.001 0.00171
0.0015 0.001828 0.001001 0.001829
0.0015 0.001828 0.001001 0.001829
0.00153 0.00193 0.00153 0.00214
0.00153 0.00193 0.00153 0.00214
0.00193 0.0019 0.001 0.00219
0.00193 0.0019 0.001 0.00219
0.001824 0.00175 9.5E-4 0.0019698
0.001824 0.00175 9.5E-4 0.0019698
0.0018 0.001599 0.0010001 0.00189998
0.0018 0.001599 0.0010001 0.00189998
0.001599 0.001849 0.00144 0.00187989
0.001599 0.001849 0.00144 0.00187989
0.0018 0.00179 0.00162 0.00187989
0.0018 0.00179 0.00162 0.00187989
0.00179 0.001698 0.00111 0.00179
0.00179 0.001698 0.00111 0.00179
0.0015 0.00154 0.0014 0.00156
0.0015 0.00154 0.0014 0.00156
0.0015 0.0014499 0.00111 0.00150998
0.0015 0.0014499 0.00111 0.00150998
0.001275 0.0015 0.00125 0.001736
0.001275 0.0015 0.00125 0.001736
0.00142001 0.00149 0.00135 0.00154
0.00142001 0.00149 0.00135 0.00154
0.00140001 0.00144941 0.00131 0.00149
0.00140001 0.00144941 0.00131 0.00149
0.00146 0.001361 0.001361 0.00146
0.00146 0.001361 0.001361 0.00146
0.001362 0.001176 5.0001E-4 0.00142
0.001362 0.001176 5.0001E-4 0.00142
0.00109 9.6E-4 9.0E-4 0.0012998
0.00109 9.6E-4 9.0E-4 0.0012998
0.001188 8.16E-4 8.16E-4 0.00119
0.001188 8.16E-4 8.16E-4 0.00119
8.4E-4 0.00121 8.4E-4 0.00121
8.4E-4 0.00121 8.4E-4 0.00121
9.9001E-4 9.7E-4 9.7E-4 0.00119879
9.9001E-4 9.7E-4 9.7E-4 0.00119879
0.001019 0.00142499 9.9E-4 0.001425
0.001019 0.00142499 9.9E-4 0.001425
0.00115003 0.00102021 0.00102 0.001189
0.00115003 0.00102021 0.00102 0.001189
0.00102031 0.00129 0.00102031 0.00134999
0.00102031 0.00129 0.00102031 0.00134999
0.00127 0.001121 0.001103 0.0012996
0.00127 0.001121 0.001103 0.0012996
0.001121 0.00111 0.001103 0.001262
0.001121 0.00111 0.001103 0.001262
0.00111 0.00103701 0.00103701 0.001195
0.00111 0.00103701 0.00103701 0.001195
0.00103701 9.315E-4 9.0001E-4 0.001099
0.00103701 9.315E-4 9.0001E-4 0.001099
9.316E-4 0.001099 9.0E-4 0.001099
9.316E-4 0.001099 9.0E-4 0.001099
0.00105102 8.611E-4 8.611E-4 0.00107
0.00105102 8.611E-4 8.611E-4 0.00107
0.00101 9.61E-4 9.1E-4 0.0010973
0.00101 9.61E-4 9.1E-4 0.0010973
0.001096 7.45E-4 7.409E-4 0.00114988
0.001096 7.45E-4 7.409E-4 0.00114988
8.8888E-4 8.09E-4 8.004E-4 0.0010889
8.8888E-4 8.09E-4 8.004E-4 0.0010889
